ID,Date,Project_Code,Department,Location,Source,Review_Text,Country,Latitude,Longitude,AI_Predicted_Category,Severity_Score,Sentiment_Indicator,Sentiment_Label
1,2024-01-02,PRJ-ALPHA,Engineering,Paris,Internal Survey,The new CAD software integration is seamless. Great job IT.,France,48.8566,2.3522,IT,0,1,Positive
2,2024-01-03,PRJ-BETA,HSE,Houston,Site Report,Safety gear supply is running low in Zone 4. Critical issue.,USA,29.7604,-95.3698,HSE,5,-1,Negative
3,2024-01-03,PRJ-GAMMA,Procurement,Kuala Lumpur,Email,Vendor response time is unacceptable. Delayed shipment again.,Malaysia,3.139,101.6869,Procurement,3,-1,Negative
4,2024-01-04,PRJ-ALPHA,Management,Paris,Quarterly Review,Overall project timeline is on track. Good progress.,France,48.8566,2.3522,Management,0,1,Positive
5,2024-01-05,PRJ-DELTA,Construction,Abu Dhabi,Site Report,Heat stress management plan is working effectively.,UAE,24.4539,54.3773,General,1,0,Neutral
6,2024-01-05,PRJ-BETA,IT,Houston,Ticket,Network latency is killing our productivity today.,USA,29.7604,-95.3698,IT,4,-1,Negative
7,2024-01-06,PRJ-EPSILON,Engineering,Rome,Meeting Notes,Calculations for the heat exchanger need review. seem off.,Italy,41.9028,12.4964,Engineering,1,0,Neutral
8,2024-01-07,PRJ-ALPHA,HR,Paris,Employee Feedback,Love the hybrid working policy. Very flexible.,France,48.8566,2.3522,General,0,1,Positive
9,2024-01-08,PRJ-GAMMA,Construction,Kuala Lumpur,Site Report,Heavy rain delayed the foundation pouring. Schedule impact likely.,Malaysia,3.139,101.6869,Construction,4,-1,Negative
10,2024-01-09,PRJ-DELTA,Procurement,Abu Dhabi,Email,Successfully negotiated a 5% discount on steel pipes.,UAE,24.4539,54.3773,General,0,1,Positive
11,2024-01-09,PRJ-BETA,Engineering,Houston,Email,Documentation is a mess. I cant find the P&IDs.,USA,29.7604,-95.3698,Engineering,3,-1,Negative
12,2024-01-10,PRJ-EPSILON,Management,Rome,Email,Client is very happy with the preliminary design.,Italy,41.9028,12.4964,Engineering,0,1,Positive
