ID,Date,Project_Code,Department,Location,Source,Review_Text,,
1,1/2/2024,PRJ-ALPHA,Engineering,Paris,Internal Survey,The new CAD software integration is seamless. Great job IT.,,
2,1/3/2024,PRJ-BETA,HSE,Houston,Site Report,Safety gear supply is running low in Zone 4. Critical issue.,,
3,1/3/2024,PRJ-GAMMA,Procurement,Kuala Lumpur,Email,Vendor response time is unacceptable. Delayed shipment again.,,
4,1/4/2024,PRJ-ALPHA,Management,Paris,Quarterly Review,Overall project timeline is on track. Good progress.,, 
5,1/5/2024,PRJ-DELTA,Construction,Abu Dhabi,Site Report,Heat stress management plan is working effectively.,,
6,1/5/2024,PRJ-BETA,IT,Houston,Ticket,Network latency is killing our productivity today.,,
7,1/6/2024,PRJ-EPSILON,Engineering,Rome,Meeting Notes,Calculations for the heat exchanger need review. seem off.,,
8,1/7/2024,PRJ-ALPHA,HR,Paris,Employee Feedback,Love the hybrid working policy. Very flexible.,,
9,1/8/2024,PRJ-GAMMA,Construction,Kuala Lumpur,Site Report,Heavy rain delayed the foundation pouring. Schedule impact likely.,,
10,1/9/2024,PRJ-DELTA,Procurement,Abu Dhabi,Email,Successfully negotiated a 5% discount on steel pipes.,,
11,1/9/2024,PRJ-BETA,Engineering,Houston,Email,Documentation is a mess. I cant find the P&IDs.,,
12,1/10/2024,PRJ-EPSILON,Management,Rome,Email,Client is very happy with the preliminary design.,,
13,1/11/2024,PRJ-ALPHA,HSE,Paris,Audit,Zero lost time injuries this month. Excellent performance.,,
14,1/12/2024,PRJ-GAMMA,IT,Kuala Lumpur,Ticket,VPN connection keeps dropping. Fix this ASAP.,,
15,1/12/2024,PRJ-DELTA,Engineering,Abu Dhabi,Internal Survey,Training for the new simulation tool was useless.,,
16,1/13/2024,PRJ-BETA,Procurement,Houston,Meeting Notes,Material costs are rising faster than budget.,,
17,1/14/2024,PRJ-EPSILON,HR,Rome,Employee Feedback,Cafeteria food quality has improved significantly.,,
18,1/15/2024,PRJ-ALPHA,Construction,Paris,Site Report,Subcontractor is not following safety protocols.,,
19,1/16/2024,PRJ-GAMMA,Management,Kuala Lumpur,Email,Budget variance is concerning. Need a meeting.,,
20,1/17/2024,PRJ-DELTA,HSE,Abu Dhabi,Site Report,Good observation of PPE compliance on site.,,
21,1/18/2024,PRJ-BETA,Engineering,Houston,Internal Survey,Collaboration between teams is lacking. Silos everywhere.,,
22,1/19/2024,PRJ-EPSILON,Procurement,Rome,Email,Logistics team did a fantastic job with the urgent delivery.,,
23,1/20/2024,PRJ-ALPHA,IT,Paris,Ticket,My laptop screen is flickering.,,
24,1/21/2024,PRJ-GAMMA,Construction,Kuala Lumpur,Site Report,Crane operation went smoothly. No issues.,,
25,1/22/2024,PRJ-DELTA,HR,Abu Dhabi,Employee Feedback,Not enough parking space for staff.,,
26,1/23/2024,PRJ-BETA,Management,Houston,Quarterly Review,Revenue targets missed for Q1.,,
27,1/24/2024,PRJ-EPSILON,HSE,Rome,Audit,Fire extinguishers are expired in the main hall.,,
28,1/25/2024,PRJ-ALPHA,Procurement,Paris,Email,Contract signed with the new supplier. Good terms.,,
29,1/26/2024,PRJ-GAMMA,Engineering,Kuala Lumpur,Meeting Notes,Technical specifications are vague. Need clarification.,,
30,1/27/2024,PRJ-DELTA,IT,Abu Dhabi,Ticket,Password reset process is too complicated.,,
31,1/28/2024,PRJ-BETA,Construction,Houston,Site Report,Welding quality is top notch. Passed inspection.,,
32,1/29/2024,PRJ-EPSILON,Management,Rome,Email,Team morale seems low. We need a team building event.,,
33,1/30/2024,PRJ-ALPHA,HSE,Paris,Site Report,Noise levels in the workshop are too high.,,
34,1/31/2024,PRJ-GAMMA,HR,Kuala Lumpur,Employee Feedback,Onboarding process was smooth and welcoming.,,
35,2/1/2024,PRJ-DELTA,Procurement,Abu Dhabi,Email,Invoice processing is taking way too long.,,
36,2/2/2024,PRJ-BETA,Engineering,Houston,Internal Survey,Software licenses expired. Can't work.,,
